group,horizon_min,method,event_definition,n_windows,n_events,caught,mae_mgdl,rmse_mgdl,mard_pct,recall_pct,precision_pct,f1
point_accuracy,5,BSP ensemble (deployed),,415,,,3.4,6.6,3.0,,,
point_accuracy,5,persistence,,415,,,4.0,6.1,3.5,,,
point_accuracy,5,linear extrapolation,,415,,,4.3,12.8,3.6,,,
point_accuracy,10,BSP ensemble (deployed),,415,,,6.4,10.5,5.7,,,
point_accuracy,10,persistence,,415,,,7.5,11.1,6.5,,,
point_accuracy,10,linear extrapolation,,415,,,9.4,26.8,7.9,,,
point_accuracy,15,BSP ensemble (deployed),,415,,,9.3,14.4,8.2,,,
point_accuracy,15,persistence,,415,,,10.7,16.5,9.1,,,
point_accuracy,15,linear extrapolation,,415,,,14.7,42.9,12.3,,,
window_breakdown,15,BSP ensemble (deployed),all windows,830,,,8.9,14.0,,,,
window_breakdown,15,BSP ensemble (deployed),quiet: abs move <= 10 mg/dL,542,,,5.1,7.8,,,,
window_breakdown,15,BSP ensemble (deployed),moving: abs move > 20 mg/dL,99,,,26.8,31.5,,,,
window_breakdown,15,BSP ensemble (deployed),falling fast: move < -20 mg/dL,45,,,28.6,32.3,,,,
window_breakdown,15,BSP ensemble (deployed),rising fast: move > +20 mg/dL,54,,,25.3,30.8,,,,
hypo_detection,15,ensemble mean (as deployed),glucose < 70 mg/dL,830,34,3,,,,8.8,33.3,
hypo_detection,15,best single model,glucose < 70 mg/dL,830,34,16,,,,47.1,50.0,
hypo_detection,15,ensemble minimum,glucose < 70 mg/dL,830,34,17,,,,50.0,50.0,
per_model_hypo,15,model_01,glucose < 70 mg/dL,830,34,7,,,,20.6,53.8,
per_model_hypo,15,model_02,glucose < 70 mg/dL,830,34,4,,,,11.8,40.0,
per_model_hypo,15,model_03,glucose < 70 mg/dL,830,34,0,,,,0.0,0.0,
per_model_hypo,15,model_04,glucose < 70 mg/dL,830,34,16,,,,47.1,50.0,
per_model_hypo,15,model_05,glucose < 70 mg/dL,830,34,0,,,,0.0,0.0,
per_model_hypo,15,model_06,glucose < 70 mg/dL,830,34,16,,,,47.1,51.6,
per_model_hypo,15,model_07,glucose < 70 mg/dL,830,34,6,,,,17.6,40.0,
per_model_hypo,15,model_08,glucose < 70 mg/dL,830,34,5,,,,14.7,45.5,
per_model_hypo,15,model_09,glucose < 70 mg/dL,830,34,9,,,,26.5,50.0,
per_model_hypo,15,model_10,glucose < 70 mg/dL,830,34,1,,,,2.9,100.0,
oor_warning,15,mean < 80 or mean > 200 (as deployed),outside [80 200] mg/dL,830,104,63,,,,60.6,75.0,67.0
oor_warning,15,p10 < 80 or p90 > 200,outside [80 200] mg/dL,830,104,80,,,,76.9,67.2,71.7
oor_warning,15,p20 < 80 or p80 > 200,outside [80 200] mg/dL,830,104,75,,,,72.1,68.2,70.1
oor_warning,15,p30 < 80 or p70 > 200,outside [80 200] mg/dL,830,104,74,,,,71.2,69.2,70.1
oor_warning,15,min < 80 or max > 200,outside [80 200] mg/dL,830,104,84,,,,80.8,58.7,68.0
retrained,15,MSE regression (reference: as deployed),glucose < 70 mg/dL,830,34,3,,,,8.8,33.0,
retrained,15,asymmetric loss alpha=3,glucose < 70 mg/dL,2493,,,11.2,,,73.8,43.7,
retrained,15,asymmetric loss alpha=8,glucose < 70 mg/dL,2493,,,18.1,,,88.3,22.9,
retrained,15,delta target + asymmetric loss,glucose < 70 mg/dL,2493,,,12.2,,,73.8,42.7,
retrained,15,direct 3-step + asymmetric loss,glucose < 70 mg/dL,2493,,,10.1,,,65.0,46.9,
retrained,15,direct 3-step + MSE,glucose < 70 mg/dL,2493,,,9.2,,,37.9,50.0,
retrained,15,GRU direct 3-step + MSE,glucose < 70 mg/dL,2493,,,9.4,,,43.7,51.1,
retrained,15,move-weighted MSE,glucose < 70 mg/dL,2493,,,10.9,,,26.2,36.5,
retrained,15,event classifier (threshold 0.3),glucose < 80 mg/dL,2493,226,171,,,,75.7,66.3,
retrained,15,event classifier (threshold 0.5),glucose < 80 mg/dL,2493,226,127,,,,56.2,72.6,
ablation,15,BSP ensemble with frozen time-of-day clock,,415,,,17.0,,,,,
ablation,15,BSP ensemble with real advancing clock,,415,,,9.3,14.4,8.2,,,
