number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_gru_units,params_learning_rate,params_num_layers,state
0,0.0008285738294944167,2025-07-25 09:12:14.340955,2025-07-25 09:14:09.821749,0 days 00:01:55.480794,24,0.13058963437376817,100,112,0.005776981861648042,0,COMPLETE
1,0.0009808028116822243,2025-07-25 09:14:09.822733,2025-07-25 09:17:54.948797,0 days 00:03:45.126064,16,0.4042992404151293,50,112,0.00020256610544160564,0,COMPLETE
2,0.0009296301868744195,2025-07-25 09:17:54.949792,2025-07-25 09:19:43.914924,0 days 00:01:48.965132,32,0.48237795070739053,80,48,0.003310818872420386,2,COMPLETE
3,0.0008747220272198319,2025-07-25 09:19:43.915923,2025-07-25 09:27:45.094416,0 days 00:08:01.178493,16,0.14977139323157584,70,64,0.0019481385097339435,3,COMPLETE
4,0.0009183448273688555,2025-07-25 09:27:45.095416,2025-07-25 09:29:33.512765,0 days 00:01:48.417349,24,0.47647723671727527,100,64,0.002799592316866249,0,COMPLETE
5,0.0008258059388026595,2025-07-25 09:29:33.512765,2025-07-25 09:38:37.043218,0 days 00:09:03.530453,16,0.137988742700585,80,48,0.00027904404347783575,2,COMPLETE
6,0.0009010978974401951,2025-07-25 09:38:37.043218,2025-07-25 09:40:46.685608,0 days 00:02:09.642390,24,0.3741370648994016,80,96,0.0031483195294285437,1,COMPLETE
7,0.0013615814968943596,2025-07-25 09:40:46.686606,2025-07-25 09:43:05.283379,0 days 00:02:18.596773,16,0.45427190391945416,110,128,0.00810581716923691,1,COMPLETE
8,0.000835448270663619,2025-07-25 09:43:05.284379,2025-07-25 09:54:26.368957,0 days 00:11:21.084578,24,0.2523925644145864,80,96,0.0001731275999122968,2,COMPLETE
9,0.0008381249499507248,2025-07-25 09:54:26.368957,2025-07-25 09:57:35.414617,0 days 00:03:09.045660,32,0.13824640114718778,70,64,0.0013262692100105093,1,COMPLETE
10,0.000909069727640599,2025-07-25 09:57:35.414617,2025-07-25 10:04:50.462388,0 days 00:07:15.047771,16,0.26139605130753657,50,32,0.0004581986368207327,3,COMPLETE
11,0.00082739582285285,2025-07-25 10:04:50.463388,2025-07-25 10:10:35.030925,0 days 00:05:44.567537,24,0.10225928819480172,120,128,0.0005609322725791607,2,COMPLETE
12,0.0008379705832339823,2025-07-25 10:10:35.030925,2025-07-25 10:17:42.916121,0 days 00:07:07.885196,24,0.18618638775774998,120,32,0.0005284557928680922,2,COMPLETE
13,0.0008041562396101654,2025-07-25 10:17:42.917121,2025-07-25 10:24:17.111102,0 days 00:06:34.193981,16,0.10448113991560878,100,80,0.000496630262142412,2,COMPLETE
14,0.0009883575839921832,2025-07-25 10:24:17.112097,2025-07-25 10:33:10.015653,0 days 00:08:52.903556,16,0.20514927899029578,100,80,0.00010476197482525234,3,COMPLETE
15,0.0009271582239307463,2025-07-25 10:33:10.017650,2025-07-25 10:40:42.720044,0 days 00:07:32.702394,16,0.3296311927836477,90,48,0.000299521273345154,2,COMPLETE
16,0.0008041581604629755,2025-07-25 10:40:42.720044,2025-07-25 10:45:37.525579,0 days 00:04:54.805535,16,0.19954544667956647,60,80,0.0012664050355211932,1,COMPLETE
17,0.0008347071125172079,2025-07-25 10:45:37.526578,2025-07-25 10:50:57.188003,0 days 00:05:19.661425,16,0.20798388888987107,60,80,0.0010081943952623491,1,COMPLETE
18,0.0008367749396711588,2025-07-25 10:50:57.189001,2025-07-25 10:55:31.218474,0 days 00:04:34.029473,32,0.27044325650084206,90,96,0.0007581210038919028,1,COMPLETE
19,0.000824631773866713,2025-07-25 10:55:31.219376,2025-07-25 11:03:42.563803,0 days 00:08:11.344427,16,0.18526908220985933,60,80,0.0012729027971770286,1,COMPLETE
20,0.0009084132616408169,2025-07-25 11:03:42.563803,2025-07-25 11:09:29.195586,0 days 00:05:46.631783,16,0.32340220213058085,110,80,0.0018253819595025506,3,COMPLETE
21,0.0008340937783941627,2025-07-25 11:09:29.196866,2025-07-25 11:16:22.325504,0 days 00:06:53.128638,16,0.18426990739196286,60,80,0.0009513793768735957,1,COMPLETE
22,0.0008449036977253854,2025-07-25 11:16:22.325504,2025-07-25 11:20:35.622183,0 days 00:04:13.296679,16,0.22993484807500372,60,96,0.0018563918859287958,1,COMPLETE
23,0.0007912259316071868,2025-07-25 11:20:35.623187,2025-07-25 11:29:28.965599,0 days 00:08:53.342412,16,0.10704838174540939,70,64,0.0012900494747257508,0,COMPLETE
24,0.0007800153689458966,2025-07-25 11:29:28.966647,2025-07-25 11:44:05.660285,0 days 00:14:36.693638,16,0.1062145790901163,70,64,0.0006842211002674291,0,COMPLETE
25,0.0009079736191779375,2025-07-25 11:44:05.661306,2025-07-25 11:51:53.799365,0 days 00:07:48.138059,32,0.1011191372984457,70,64,0.0003671551281188239,0,COMPLETE
26,0.0008250193204730749,2025-07-25 11:51:53.800366,2025-07-25 12:09:10.097515,0 days 00:17:16.297149,16,0.15834622979375226,90,48,0.0007032441432868585,0,COMPLETE
27,0.0007867338717915118,2025-07-25 12:09:10.098517,2025-07-25 12:21:02.754707,0 days 00:11:52.656190,16,0.1015221826771511,70,64,0.0007294856393845288,0,COMPLETE
28,0.0008024556445889175,2025-07-25 12:21:02.754707,2025-07-25 12:33:22.162407,0 days 00:12:19.407700,16,0.15880182795632536,70,64,0.0007793565324876672,0,COMPLETE
29,0.000821891357190907,2025-07-25 12:33:22.162407,2025-07-25 12:36:23.565027,0 days 00:03:01.402620,32,0.12522271847718885,70,48,0.0058423205214557595,0,COMPLETE
